school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3
199,Ahale primary school,Kerabari,7,413,Kerabari Rural Municipality,6,Morang,1,Koshi Province,Ahale pr V,Ahalepr V,
1100,"Aims Educational Academy, Arjundhara-8",Arjundhara,9,259,Arjundhara Municipality,4,Jhapa,1,Koshi Province,"Aims Educational Academy, Arjundhara-9",Aims Educational Academy,
1101,Aishworya Basic School,sannetar,2,165,Mahalaxmi Municipality,2,Dhankuta,1,Koshi Province,Aishworya Pra Vi,Aishworya Pra V,
1102,Aishworya Pra V,Malumajhuwa,1,247,Maijogmai Rural Municipality,3,Ilam,1,Koshi Province,,,
1103,Aitabare Basic School,Panchkhapan,3,627,Panchakhapan Municipality,9,Sankhuwasabha,1,Koshi Province,Aitabare Adharbhut School,Aitabare Adhar V,
1104,Aitabare Ni Ma,Thumlung,6,101,Salpasilichho Rural Municipality,1,Bhojpur,1,Koshi Province,,,
1105,Aitabare Pra V,Barbote,9,164,Sahidbhumi Rural Municipality,2,Dhankuta,1,Koshi Province,,,
1106,Aitabare Pra V,Kafle,7,165,Mahalaxmi Municipality,2,Dhankuta,1,Koshi Province,,,
1107,Aitabare Pra V,Bijuwanidanda Gahate,6,627,Panchakhapan Municipality,9,Sankhuwasabha,1,Koshi Province,,,
1108,Aitabare Pra V,Thulopari,10,97,Bhojpur Municipality,1,Bhojpur,1,Koshi Province,,,
1109,Ajajiya Madarasa Basic School,Sonapur,1,418,Ratuwamai Municipality,6,Morang,1,Koshi Province,Ajajiya Madrassa,,
1110,Ajambari Pra V,yogbirang,3,164,Sahidbhumi Rural Municipality,2,Dhankuta,1,Koshi Province,,,
1111,Ak Montessori School,Barahakshetra-6,6,714,Barahkshetra Municipality,11,Sunsari,1,Koshi Province,,,
1112,Akash Devi Pra Vi,Thalakham,3,356,Jantedhunga Rural Municipality,5,Khotang,1,Koshi Province,Akash Devi Pra V,,
1113,Akchewa Basic School,Akchewa,3,626,Makalu Rural Municipality,9,Sankhuwasabha,1,Koshi Province,Akchewa Adharbhoot Vidyalaya,Akchewa Pra V,
1114,Akshara English School,Itahari,8,723,Itahari Sub Metropolitan City,11,Sunsari,1,Koshi Province,,,
1115,Al Islah Ideal School Madarsa,"Harinagar-06 Ghuski,Arnawa",6,721,Harinagar Rural Municipality,11,Sunsari,1,Koshi Province,All Islah Ideal School Madarssa,,
1116,Al-Madina madarsa,Kachankawal,7,269,Kachankawal Rural Municipality,4,Jhapa,1,Koshi Province,,,
1117,Alember Pra. Vi.,Aamtar,7,414,Letang Municipality,6,Morang,1,Koshi Province,Alember Pra V,,
1118,Alfalah Public  Secondary School,Koshi,5,724,Koshi Rural Municipality,11,Sunsari,1,Koshi Province,Madrassa Allfalaha Public School,Madrassa Allfalaha Public Scool,
1119,Ali Public School,Gautampur,1,721,Harinagar Rural Municipality,11,Sunsari,1,Koshi Province,,,
1120,Allied English school,Sarswati Marga,8,264,Damak Municipality,4,Jhapa,1,Koshi Province,Elite Ebs,,
1121,Alpa Devi Basic School,Kummayak,2,500,Kummayak Rural Municipality,8,Panchthar,1,Koshi Province,Alpa Devi Pra V,,
1122,Alpha Academy,Dharan 16,16,718,Dharan Sub Metropolitan City,11,Sunsari,1,Koshi Province,,,
1123,Alpha Beta Ebs,Amahibelaha,5,715,Barju Rural Municipality,11,Sunsari,1,Koshi Province,,,
1124,Alpine English Boarding School,Chausathi,7,725,Ramdhuni Municipality,11,Sunsari,1,Koshi Province,,,
1125,Alpine International Model Sec. School,Dharan,12,718,Dharan Sub Metropolitan City,11,Sunsari,1,Koshi Province,,,
1126,Amaduwa Pharma basic school,Faram Tole,3,715,Barju Rural Municipality,11,Sunsari,1,Koshi Province,Amaduwa Pharma Pra V,,
1127,Amar Deep Basic School,Hikunamba,4,501,Miklajung Rural Municipality,8,Panchthar,1,Koshi Province,Amar Deep Adharbhut Bidhalaya,Amar Deep Ni Ma V,
1128,AMAR ENGLISH SECONDARY BOARDING SCHOOL,Amarchowk,10,405,Belbari Municipality,6,Morang,1,Koshi Province,SHREE AMAR ENGLISH SECONDARY BOARDING SCHOOL,AMAR ENGLISH SECONDARY BOARDING SCHOOL,Amar Ebs
1129,Amar Jyoti Basic School,Hilihang,1,499,Hilihang Rural Municipality,8,Panchthar,1,Koshi Province,Amar Jyoti Ni Ma V,,
1130,Amar Jyoti basic school,Sundarharaincha,5,419,Sundarharaincha Municipality,6,Morang,1,Koshi Province,Amar Jyoti Pra V,,
1131,Amar Jyoti Basic School,Chachalung,5,710,Mahakulung Rural Municipality,10,Solukhumbu,1,Koshi Province,Amar Jyoti Adhar V,,
1132,Amar Jyoti Pra V,Khoktap,9,162,Chhathar Jorpati Rural Municipality,2,Dhankuta,1,Koshi Province,,,
1133,Amar Jyoti Pra V,Kanku,4,707,Mapya Dudhkoshi Rural Municipality,10,Solukhumbu,1,Koshi Province,Amar Jyoti Basic School,,
1134,Amar Jyoti Primary School,Mahang,9,163,Dhankuta Municipality,2,Dhankuta,1,Koshi Province,Amar Jyoti Pra V,,
1135,Amar Pra V,Schooldanda,12,272,Mechinagar Municipality,4,Jhapa,1,Koshi Province,,,
1136,Amar pra v,Amarhaat,13,718,Dharan Sub Metropolitan City,11,Sunsari,1,Koshi Province,Amar Pra V,,
1137,Amar Primary School,Jimigaun,6,167,Sangurigadhi Rural Municipality,2,Dhankuta,1,Koshi Province,Amar Pra V,,
1138,Amar Sahid Aadharbhut Bidhyalaya,Madamsing,1,623,Dharmadevi Municipality,9,Sankhuwasabha,1,Koshi Province,Amar Sahid Pra V,,
1139,Amar Sahid Pra V,Desare,3,352,Ainselukharka Rural Municipality,5,Khotang,1,Koshi Province,,,
1140,Amar Secondary school,Gauradaha,9,265,Gauradaha Municipality,4,Jhapa,1,Koshi Province,Amar Ma V,,
1141,Amar secondary school,Gauradaha Bazar,2,265,Gauradaha Municipality,4,Jhapa,1,Koshi Province,Amar Adhar V,,
1142,Amar Secondary School,Batisjhalaya,6,166,Pakhribas Municipality,2,Dhankuta,1,Koshi Province,Amar Ma V,,
1143,Amar Shanti Srijana Ni Ma V,Balaha Mandal Tole,10,722,Inaruwa Municipality,11,Sunsari,1,Koshi Province,,,
1144,Amar Singh Basic School,Oyakjung,2,770,Phedap Rural Municipality,13,Tehrathum,1,Koshi Province,Amar Singh Adharbhut Viddyala,Amar Singh Adhar V,
1145,Amar Singh Prathamik Vidhyalaya,Jhapa R.M.,1,268,Jhapa Rural Municipality,4,Jhapa,1,Koshi Province,Amar Singh Pra V,,
1146,Amar Singh Secondary School,Pathari Shanishchare,5,416,Pathari Shanishchare Municipality,6,Morang,1,Koshi Province,Amar Singh Ma V,,
1147,Amaramarlaxmi i,Jirayat,8,417,Rangeli Municipality,6,Morang,1,Koshi Province,Amar Laxmi Pra V,,
1148,Amardaha Children Public Ebs,sunawarshi,4,420,Sunawarshi Municipality,6,Morang,1,Koshi Province,,,
1149,Amarhart Memorial English Boarding School,Biran,3,414,Letang Municipality,6,Morang,1,Koshi Province,Amarhart Memorial Ebs,,
1150,Amarjyoti Basic School,Sangrumba Kopche,12,245,Ilam Municipality,3,Ilam,1,Koshi Province,Amarjyoti Adhar V,,
1151,Amarkalyan Secondary School,Maijogmai,1,247,Maijogmai Rural Municipality,3,Ilam,1,Koshi Province,Amarkalyan MA VI,Amarkalyan Ma V,
1152,Amarpur Secondary School,Amarpur,1,499,Hilihang Rural Municipality,8,Panchthar,1,Koshi Province,Amarpur Uchha Ma V,,
1153,Amarsingh Adhar V,Beshinda,1,629,Silichong Rural Municipality,9,Sankhuwasabha,1,Koshi Province,,,
1154,Amarsmriti Basic School,Okkhre,6,761,Phungling Municipality,12,Taplejung,1,Koshi Province,Amarsmriti Pra V,,
1155,Amaruwa Uchha Ma V,Phakling,8,623,Dharmadevi Municipality,9,Sankhuwasabha,1,Koshi Province,,,
1156,AMBAR BASIC SCHOOL,katahari,7,412,Katahari Rural Municipality,6,Morang,1,Koshi Province,Ambar Basic School,Ambar Pra V,
1157,Ambassador English Boarding School,Tellok,4,763,Sirijangha Rural Municipality,12,Taplejung,1,Koshi Province,,,
1158,Ambebar Janta Ma V,Rajabash,9,777,Triyuga Municipality,14,Udayapur,1,Koshi Province,Ambebar Janata Uchha Ma V,,
1159,Ambegudin Basic School,Ambegudin,2,763,Sirijangha Rural Municipality,12,Taplejung,1,Koshi Province,Ambegudin Aa Vi,Ambegudin Pra V,
1160,Ambegudin Secondary School,Ambegudin,2,763,Sirijangha Rural Municipality,12,Taplejung,1,Koshi Province,Aambegudin Ma Vi,Ambegudin Ma V,
1161,Ambika Basic School,Sidingba,5,762,Sidingba Rural Municipality,12,Taplejung,1,Koshi Province,Ambika Ni Ma V,,
1162,Ambition Academy,Jayapur,2,263,Buddhashanti Rural Municipality,4,Jhapa,1,Koshi Province,Jupiter Ebs,,
1163,Ambote Basic School,Aambote,2,756,Aathrai Tribeni Rural Municipality,12,Taplejung,1,Koshi Province,Ambote Pra V,,
1164,AMITY INTERNATIONAL SCHOOL,Biratnagar,8,406,Biratnagar Metropolitan City,6,Morang,1,Koshi Province,,,
1165,Amity Public School,Barmali Tole,6,272,Mechinagar Municipality,4,Jhapa,1,Koshi Province,Amity Public Ebs,,
1166,Amity Secondary School,Birtamode,5,262,Birtamod Municipality,4,Jhapa,1,Koshi Province,Adarsha Sishu Ebs,,
1167,Amlise Bhanjyang Basic School,Amlise,1,246,Mai Municipality,3,Ilam,1,Koshi Province,Amlise Bhanjyang Adharbhut Bidhyalaya,Amlise Bhanjyang Pra V,
1168,Amlishe Pra VI,suryodaya,12,251,Suryodaya Municipality,3,Ilam,1,Koshi Province,Amlishe Pra V,,
1169,Amma Academy,Srijhanja,3,416,Pathari Shanishchare Municipality,6,Morang,1,Koshi Province,,,
1170,Amrash Adharbhut Bidhyalaya,Thulungdudhkoshi Rural Municipality,8,706,Thulung Dudhkoshi Rural Municipality,10,Solukhumbu,1,Koshi Province,,,
1171,Amrit  Secondary School,Bahradashi,1,260,Bahradashi Rural Municipality,4,Jhapa,1,Koshi Province,Amrit Adhar V,,
1172,Amrit Basic School,Yasok Bazzar,1,500,Kummayak Rural Municipality,8,Panchthar,1,Koshi Province,Amrit Adharbhut Bidhyalaya,Amrit Pra V,
1173,Amrit English Boarding School,Chulachuli,2,242,Chulachuli Rural Municipality,3,Ilam,1,Koshi Province,Amrit Ebs,,
1174,Amurt Academy,Shanti Tole Simarbana,5,723,Itahari Sub Metropolitan City,11,Sunsari,1,Koshi Province,,,
1175,Ananda Pra V,Khairbona,7,408,Dhanapalthan Rural Municipality,6,Morang,1,Koshi Province,,,
1176,Anandeshwar Basic School,Chapbhanjyan,2,485,Siddhicharan Municipality,7,Okhaldhunga,1,Koshi Province,Anandeshwar Pra V,,
1177,Ananta Pra V,"dhanpalthan-7, daligachh",7,408,Dhanapalthan Rural Municipality,6,Morang,1,Koshi Province,,,
1178,Ananta Pra V,Kadamgachiya,2,412,Katahari Rural Municipality,6,Morang,1,Koshi Province,,,
1179,Ananta Sikshya Jyoti Pra V,Makalu Tole,11,718,Dharan Sub Metropolitan City,11,Sunsari,1,Koshi Province,,,
1180,Anantajyoti Vidhya Mandir Ebs,Katahri,1,412,Katahari Rural Municipality,6,Morang,1,Koshi Province,,,
1181,Anarmani Adharbhut Bidhyalaya,Birtamod,4,262,Birtamod Municipality,4,Jhapa,1,Koshi Province,Anarmani Adharbhut Bidhalaya,Anarmani Pra V,
1182,Anarmani Liberty School,Birtamod,5,262,Birtamod Municipality,4,Jhapa,1,Koshi Province,,,
1183,Andheri Basic School,Dhuseni,2,759,Mikwakhola Rural Municipality,12,Taplejung,1,Koshi Province,Andheri Pra V,,
1184,Angel Academy,,,270,Kamal Rural Municipality,4,Jhapa,1,Koshi Province,,,
1185,Angelica Academy,Shivasatakshi Nagarpalika 6,6,273,Shivasatakshi Municipality,4,Jhapa,1,Koshi Province,Anjelika Acadamy,,
1186,Angels Kindergarten,Itahari,3,723,Itahari Sub Metropolitan City,11,Sunsari,1,Koshi Province,,,
1187,Angepa Basic School,Budhuksingh,3,762,Sidingba Rural Municipality,12,Taplejung,1,Koshi Province,Angepa Ni Ma V,,
1188,Anibarya Nisulka  Basic school takure,Takure,2,164,Sahidbhumi Rural Municipality,2,Dhankuta,1,Koshi Province,Anibarya Nisulka  Basic school,Anibarya Nisulka Pra V,
1189,Aniwarya Nisulka Basic school,sahidbhumi,1,164,Sahidbhumi Rural Municipality,2,Dhankuta,1,Koshi Province,"Aniwarya Nisulka Basic school, sahidbhumi- 1 dhankuta",Aniwarya Nisulka Ni Ma V,
1190,Aniwarya Nisulka Basic School,Kaseni,3,166,Pakhribas Municipality,2,Dhankuta,1,Koshi Province,Aniwarya Nisulka Ni Ma V,,
1191,Aniwarya Nisulka Secondary School,Simle,1,164,Sahidbhumi Rural Municipality,2,Dhankuta,1,Koshi Province,Aniwarya Nisulka secondary school,"Aniwarya Nisulka secondary school, sahidbhumi-1 dhankuta",Aniwarya Nisulka Ma V
1192,Annapurna Academy Morang,"Belbari-3, Morang",3,405,Belbari Municipality,6,Morang,1,Koshi Province,Annapurna Academy,,
1193,Annapurna Academy P.v.t Ltd,Ramdhuni:-3,3,725,Ramdhuni Municipality,11,Sunsari,1,Koshi Province,,,
1194,Annapurna Basic School,Umring,4,625,Madi Municipality,9,Sankhuwasabha,1,Koshi Province,Annapurna Pra V,,
1195,Annapurna Basic School Bhalupakwan,Rautamai,3,774,Rautamai Rural Municipality,14,Udayapur,1,Koshi Province,Annapurna Pra V Bhalupakwan,,
1196,"Annapurna Basic School(1-5), Bajagara",Bajgara,3,775,Limchungbung Rural Municipality,14,Udayapur,1,Koshi Province,Annapurna Pra V Bajagara,,
1197,Annapurna English  School,Itahara,9,418,Ratuwamai Municipality,6,Morang,1,Koshi Province,Annapurna English Boarding School,"Annapurna English Boarding School Ratuwamai 9, Morang",
1198,Annapurna English Boarding School,Annapurna Chowk,1,416,Pathari Shanishchare Municipality,6,Morang,1,Koshi Province,Annapurna Ebs,,
1199,Annapurna Ma Vi,Buwalung,8,360,Diktel Rupakot Majhuwagadhi Municipality,5,Khotang,1,Koshi Province,Annapurna Ma V,,
