school_id_a,school_id_b,match_score,school_name_a,school_name_b,district_id_a,district_a,district_b
181,12512,70.0,"बाल कल्याण आधारभूत विद्यालय, इलाम",Janakalyan Basic School,3,इलाम,ilam
241,13118,70.76923076923076,"कन्काई माध्यमिक विद्यालय, इलाम",Kankai Secondary School,3,इलाम,ilam
2215,73209,70.12987012987013,भगवती आधारभूत विद्यालय कैलाली,Pragatisil Aadharbhut vidyalaya,76,कैलाली,kailali
2235,16341,72.34042553191489,"आधारभूत विद्यालय, सुनवर्षी, मोरङ","Shree Ratna Basic School, Sunawarshi-1, Morang",6,मोरङ,morang
2838,52271,71.23287671232876,"जनप्रिय आधारभूत विद्यालय, पाल्पा",Janapriya Adharbhut Vidyalaya,52,पाल्पा,palpa
2942,52732,70.27027027027026,"खुर्साने आधारभूत विद्यालय, पाल्पा",Khursane Aadharbhut Vidhyalaya,52,पाल्पा,palpa
2962,22850,78.72340425531915,"नेपाल राष्ट्रिय आधारभूत विद्यालय, बारा",nepal rastriya aadharbhut vidhalay inarwa,16,बारा,bara
3029,35352,70.10309278350515,"राष्ट्रिय आधारभूत विद्यालय धर्मपुर, चितवन",Rastriya Aadharbhut vidhyalaya  Kamalpur,29,चितवन,chitwan
4461,1704,70.27027027027026,"एकता आधारभूत विद्यालय, मोरङ",Bhanu Bhakta Aadharbhut vidyalaya,6,मोरङ,morang
4748,21496,70.0,"जनता आधारभूत विद्यालय, महोत्तरी",Janata Rashtriya Basic (0-5) School Bisanpur,22,महोत्तरी,mahottari
5338,72515,75.0,"महाकाली जनज्योति आधारभूत विद्यालय, कञ्चनपुर",Mahakali Janajyoti Adharbhut Vidyalaya,77,कञ्चनपुर,kanchanpur
5951,51120,74.57627118644068,आधारभूत विद्यालय दाङ,Danphe Aadharbhut vidyalaya,53,दाङ्ग,dang
6874,33653,72.46376811594203,जलपा माध्यमिक विद्यालय ललितपुर,Lalitpur Madhyamik Vidyalaya,25,ललितपुर,lalitpur
7114,16331,70.4225352112676,"राम आधारभूत विद्यालय, मोरङ",Shree Ram Janaki Aadharbhut vidhyalay sunwarshi-5 Morang,6,मोरङ,morang
7205,12763,71.7948717948718,"जनता माध्यमिक विद्यालय, मोरङ",Janata Secondary School,6,मोरङ,morang
8130,55803,71.23287671232876,"सूर्योदय आधारभूत विद्यालय, रोल्पा","SHREE SURYODAYA BASIC SCHOOL, TRIVENI -6, RIJA , ROLPA",55,रोल्पा,rolpa
8150,62069,70.45454545454545,मुक्पोरोङ्ग हिमाल आधारभूत विद्यालय डोल्पा,Mukporong Himal Adharbhut Vidyalaya,60,डोल्पा,dolpa
8159,798,71.42857142857143,अपरम्पार आधारभूत विद्यालय कैलाली,Aparampar Adharbhut Vidyalaya Benauli,76,कैलाली,kailali
8280,21763,76.71232876712328,"कन्या आधारभूत विद्यालय, सिरहा",Kanya Aadharbhut Vidyalay,19,सिराहा,siraha
8290,21763,70.12987012987013,"आधारभूत विद्यालय कुथनमा, सिरहा",Kanya Aadharbhut Vidyalay,19,सिराहा,siraha
8415,62749,71.42857142857143,"सरस्वती आधारभूत विद्यालय, सल्यान",Saraswati Basic School,66,सल्यान,salyan
8727,51802,70.4225352112676,"हिमालय आधारभूत विद्यालय, रुकुम",Himalaya Adharbhut Vidyalaya,56,रुकुम पूर्व,rukum purba
8787,52203,71.26436781609196,जनज्योती आधारभूत विद्यालय कपिलवस्तु,Janajyoti Adharbhut Vidyalaya Sankhapur,47,कपिलवस्तु,kapilbastu
8873,61283,70.27027027027026,"महेन्द्र आधारभूत विद्यालय, सल्यान",Janakalyan Basic School,66,सल्यान,salyan
8898,63442,71.26436781609196,"सिद्धार्थ आधारभूत विद्यालय, सल्यान",Siddhartha  Basic School,66,सल्यान,salyan
8915,61283,71.23287671232876,गणेश आधारभूत विद्यालय सल्यान,Janakalyan Basic School,66,सल्यान,salyan
9324,63389,72.0,"सिद्धार्थ आधारभूत विद्यालय, हुम्ला",Shree Siddhartha Basic  Level School,61,हुम्ला,humla
9806,41828,72.22222222222221,"सिद्ध आधारभूत विद्यालय, कास्की",Jana Siddha Adharbhut Vidyalaya,38,कास्की,kaski
10088,12512,70.4225352112676,"भानु आधारभूत विद्यालय, इलाम",Janakalyan Basic School,3,इलाम,ilam
10123,1704,70.27027027027026,"धामो आधारभूत विद्यालय, मोरङ",Bhanu Bhakta Aadharbhut vidyalaya,6,मोरङ,morang
10156,41877,70.76923076923076,जनता माध्यमिक विद्यालय कास्की,Janaki Madhyamik Vidhyalaya,38,कास्की,kaski
10831,22442,74.79674796747969,"महानन्द प्रसाद उपाध्याय माध्यमिक विद्यालय, बगही, पर्सा",Mahanand Prasad Upadhyay Madhyamik Vidyalaya Bagahi,15,पर्सा,parsa
11046,16365,70.27027027027026,"आधारभूत विद्यालय, घोपा सुनसरी",Shree Saptakoshi Mavi  Bhantabari,11,सुनसरी,sunsari
12237,52065,71.42857142857143,"जन आधारभूत विद्यालय, पाल्पा",Jana Kalyan Adharbhut Vidyalaya,52,पाल्पा,palpa
12896,12598,71.42857142857143,"जनता आधारभूत विद्यालय, इलाम",Janata  Aadharabhut Vidhyalaya,3,इलाम,ilam
12982,33653,73.52941176470588,"देवी माध्यमिक विद्यालय, ललितपुर",Lalitpur Madhyamik Vidyalaya,25,ललितपुर,lalitpur
13320,16219,73.41772151898735,"भानु आधारभूत विद्यालय, मोरङ",shree maa bhawani adharbhut vidhyalaya,6,मोरङ,morang
14002,61283,71.23287671232876,"जनता आधारभूत विद्यालय, सल्यान",Janakalyan Basic School,66,सल्यान,salyan
14485,15889,72.94117647058825,"रामधुनी माध्यमिक विद्यालय, सुनसरी","Shivnagar Madhyamik Vidhyalaya, Ramdhuni",11,सुनसरी,sunsari
14529,55910,70.12987012987013,"सिद्धार्थ आधारभूत विद्यालय, बर्दिया",Siddhartha Basic School,58,बर्दिया,bardiya
14891,62846,70.83333333333333,"सरस्वती आधारभूत विद्यालय, जाजरकोट",Saraswati Sadan Aadharbhut Vidyalaya,62,जाजरकोट,jajarkot
15393,21763,70.12987012987013,"आधारभूत विद्यालय लतियाही, सिरहा",Kanya Aadharbhut Vidyalay,19,सिराहा,siraha
15436,23457,70.12987012987013,"प्राथमिक विद्यालय डुमरिया, सर्लाही",Prathamik Vidyalaya Dumariya Tole,18,सर्लाही,sarlahi
15926,41359,72.97297297297297,"कल्लेरी आधारभूत विद्यालय, गोरखा",Gorakhkali Adharbhut Vidyalaya,37,गोरखा,gorkha
16014,42505,72.28915662650603,"महेन्द्र ज्योती माध्यमिक विद्यालय, गोरखा",Mahendra Jyoti Madhyamik Vidhyalaya,37,गोरखा,gorkha
16271,1443,71.05263157894737,"बलभद्र आधारभूत विद्यालय, झापा",BalaBhadra Aadharbhut Vidyalaya,4,झापा,jhapa
16489,71858,77.27272727272727,"जनकल्याण आधारभूत विद्यालय, कैलाली",Kailali Janakalyan Basic School,76,कैलाली,kailali
16496,12071,72.46376811594203,"इन्द्रेणी प्राथमिक विद्यालय, झापा",Indrani prathamik  vidhyalaya,4,झापा,jhapa
16709,12512,74.35897435897436,"जनकल्याण आधारभूत विद्यालय, इलाम",Janakalyan Basic School,3,इलाम,ilam
16832,17126,72.97297297297297,"सूर्योदय आधारभूत विद्यालय, झापा",Suryodaya Adharbhut vidyalaya,4,झापा,jhapa
16884,22850,71.15384615384616,"नेपाल राष्ट्रिय आधारभूत विद्यालय, बेतौना, बारा",nepal rastriya aadharbhut vidhalay inarwa,16,बारा,bara
16896,22850,70.58823529411764,"नेपाल राष्टिय आधारभूत विद्यालय कोल्हवी, बारा",nepal rastriya aadharbhut vidhalay inarwa,16,बारा,bara
16899,22850,71.15384615384616,"नेपाल राष्ट्रिय आधारभूत विद्यालय, तेतरिय, बारा",nepal rastriya aadharbhut vidhalay inarwa,16,बारा,bara
17315,1755,72.46376811594203,"भिमले आधारभूत विद्यालय, झापा","Bhimale Basic School, Arjundhara-1",4,झापा,jhapa
17677,22850,70.47619047619047,"नेपाल राष्ट्रिय आधारभूत विद्यालय पकडिया, बारा",nepal rastriya aadharbhut vidhalay inarwa,16,बारा,bara
17882,16489,70.32967032967032,"जन आधारभूत विद्यालय, रामधुनी, सुनसरी",SHREE SUNSARI RAMDHUNI BASIC SCHOOL,11,सुनसरी,sunsari
17926,12799,70.0,"जनता आधारभूत विद्यालय, अमडुवा, सुनसरी",Janta basic school,11,सुनसरी,sunsari
18439,41889,75.0,जनप्रिय प्रा वि,Janapriya Pra V,43,पूर्व नवलपरासी,nawalpur
18518,61283,70.27027027027026,"कालिका आधारभूत विद्यालय, सल्यान",Janakalyan Basic School,66,सल्यान,salyan
18526,61283,70.12987012987013,जनविकाश आधारभूत विद्यालय सल्यान,Janakalyan Basic School,66,सल्यान,salyan
19077,16219,70.45454545454545,"भानु मोरंग आधारभूत विद्यालय, मोरङ",shree maa bhawani adharbhut vidhyalaya,6,मोरङ,morang
19100,11949,70.4225352112676,"सागर आधारभूत विद्यालय, इलाम",Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
19113,12512,71.05263157894737,"चन्द्रकला आधारभूत विद्यालय, इलाम",Janakalyan Basic School,3,इलाम,ilam
19118,1167,71.11111111111111,"अम्लिसे भन्ज्याङ्ग आधारभूत विद्यालय, इलाम",Amlise Bhanjyang Basic School,3,इलाम,ilam
19182,21945,72.34042553191489,"मा॰ वि॰ कजुरी, धनुषा",ma vi khajuri chanha,20,धनुषा,dhanusha
19279,71858,72.28915662650603,"कालिका आधारभूत विद्यालय, कैलाली",Kailali Janakalyan Basic School,76,कैलाली,kailali
19373,24403,70.08547008547008,"जनता माध्यमिक विधालय, खुदीबखारी, कुपही, सप्तरी",Shree Janta Madhyamik Vidayalay Khudibakhari Kupahi,21,सप्तरी,saptari
20354,3324,70.0,"कमलादेवी आधारभूत विद्यालय, काभ्रे",Bachala Devi Basic School Phusrathumka,26,काभ्रेपलाञ्चोक,kavrepalanchok
20385,35352,70.0,"राष्ट्रिय आधारभूत विद्यालय, मंगलपुर, चितवन",Rastriya Aadharbhut vidhyalaya  Kamalpur,29,चितवन,chitwan
20544,628,73.6842105263158,"आधारभूत विद्यालय, जुम्ला",Adharbhut Vidyalaya Luma,63,जुम्ला,jumla
20609,41359,70.4225352112676,"स्तुल आधारभूत विद्यालय, गोरखा",Gorakhkali Adharbhut Vidyalaya,37,गोरखा,gorkha
20792,12512,70.4225352112676,"एकता आधारभूत विद्यालय, इलाम",Janakalyan Basic School,3,इलाम,ilam
20831,42570,71.55963302752293,"मनकामना बहिरा आवासिय माध्यमिक विद्यालय, गोरखा",Manakamana Bahira Awasiya Madhyamik Vidhyalaya,37,गोरखा,gorkha
21858,7949,73.23943661971832,"दिपेन्द्र माध्यमिक विद्यालय, कैलाली",Deependra Secondary School,76,कैलाली,kailali
22265,22850,71.84466019417476,नेपाल राष्ट्रिय आधारभूत विद्यालय उचिडीह बारा,nepal rastriya aadharbhut vidhalay inarwa,16,बारा,bara
22672,22850,72.54901960784314,"नेपाल राष्ट्रिय आधारभूत विद्यालय खम्वा, बारा",nepal rastriya aadharbhut vidhalay inarwa,16,बारा,bara
23087,16331,71.02803738317758,"जनप्रिय आधारभूत विद्यालय, सुनवर्षी, मोरङ",Shree Ram Janaki Aadharbhut vidhyalay sunwarshi-5 Morang,6,मोरङ,morang
23818,42532,73.41772151898735,"महेन्द्रोदय आधारभूत विद्यालय, कास्की",Mahendrodaya Adharbhut Vidyalaya,38,कास्की,kaski
23916,16331,71.15384615384616,"जनता आधारभूत विद्यालय सुनवर्षी, मोरङ",Shree Ram Janaki Aadharbhut vidhyalay sunwarshi-5 Morang,6,मोरङ,morang
24243,33883,70.83333333333333,"महाकाली आधारभूत विद्यालय गौखर्क, सिन्धुली",Mahakali Adharbhut Vidyalaya,35,सिन्धुली,sindhuli
24553,55469,70.4225352112676,"जनक आधारभूत विद्यालय, पाल्पा",Shree Janakalyan Basic School,52,पाल्पा,palpa
24558,53549,70.58823529411764,महेन्द्र नरेश आधारभूत विद्यालय पाल्पा,Mahendra Naresh Secondary School,52,पाल्पा,palpa
25114,1704,70.27027027027026,"जनक आधारभूत विद्यालय, मोरङ",Bhanu Bhakta Aadharbhut vidyalaya,6,मोरङ,morang
25130,16341,70.32967032967032,"नुनसरी आधारभूत विद्यालय, मोरङ","Shree Ratna Basic School, Sunawarshi-1, Morang",6,मोरङ,morang
25344,21763,70.27027027027026,"आधारभूत विद्यालय चतरी, सिरहा",Kanya Aadharbhut Vidyalay,19,सिराहा,siraha
25397,11949,73.97260273972603,"हिमालय आधारभूत विद्यालय, इलाम",Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
25771,54489,71.23287671232876,"पुर्णहिरा माध्यमिक विद्यालय, बर्दिया",Purnahira Secondary School,58,बर्दिया,bardiya
26164,41359,72.46376811594203,"ल्हो आधारभूत विद्यालय, गोरखा",Gorakhkali Adharbhut Vidyalaya,37,गोरखा,gorkha
26175,41702,72.22222222222221,"ज्योति आधारभूत विद्यालय, बाग्लुङ",Jana Jyoti Adharbhut Vidyalaya,36,बागलुङ,baglung
26182,1635,71.42857142857143,"मोती आधारभूत विद्यालय, झापा",Bhagawati Basic School,4,झापा,jhapa
26232,61283,72.0,जनमुखी आधारभूत विद्यालय सल्यान,Janakalyan Basic School,66,सल्यान,salyan
26498,11949,70.4225352112676,"भिसुन आधारभूत विद्यालय, इलाम",Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
26552,13223,71.28712871287128,"किरात साम्जिक मुन्धुम आधारभूत विद्यालय, इलाम",Kirat Samjik Mundhum Aadharbhut Vidhyalaya,3,इलाम,ilam
26565,52116,70.27027027027026,जनज्योति आधारभूत विद्यालय वर्दिया,Jana Priya BASIC SCHOOL,58,बर्दिया,bardiya
26600,11949,71.23287671232876,राष्टिय आधारभूत विद्यालय इलाम,Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
26709,11949,73.52941176470588,माबु आधारभूत विद्यालय इलाम,Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
27020,51813,74.35897435897436,"हिमालय माध्यमिक विद्यालय, रोल्पा",Himalaya Phoolbari Madhyamik Vidyalaya,55,रोल्पा,rolpa
27115,61283,70.4225352112676,"इन्द्र आधारभूत विद्यालय, सल्यान",Janakalyan Basic School,66,सल्यान,salyan
27513,5560,70.0,"प्रगति आधारभूत विद्यालय, पाल्पा",Balkanya Bhagawati Adharbhut Vidyalaya,52,पाल्पा,palpa
27581,22626,70.08547008547008,"मुनरी राष्ट्रिय आधारभूत विद्यालय, भटौलिया महोत्तरी",Munari Rastriya Aadharbhut Vidhalaya Bhatauliya,22,महोत्तरी,mahottari
27686,63424,70.27027027027026,"सिद्ध आधारभूत विद्यालय, सल्यान",Siddha Adharbhut Vidyalaya,66,सल्यान,salyan
27796,55899,72.0,"सिद्धार्थ आधारभूत विद्यालय, रोल्पा",Siddhartha aadharbhut vidyalaya,55,रोल्पा,rolpa
27942,54001,72.41379310344827,"मयुर नेपाल राष्ट्रिय आधारभूत विद्यालय, बर्दिया","Nepal Rastriya Adharbhut Vidyalaya, Dasrathbasti",58,बर्दिया,bardiya
27981,41084,70.12987012987013,धौलागिरी आधारभूत विद्यालय म्याग्दी,Dhawalagiri Secondary School,42,म्याग्दी,myagdi
28201,16219,72.72727272727273,"माँ भवानी आधारभूत विद्यालय, मोरङ",shree maa bhawani adharbhut vidhyalaya,6,मोरङ,morang
28262,43503,70.73170731707317,"सरस्वती आधारभूत विद्यालय, लमजुङ",Saraswati Sadan Adharbhut Vidyalaya,39,लमजुङ,lamjung
28543,55803,72.22222222222221,"सुर्योदय आधारभूत विद्यालय, रोल्पा","SHREE SURYODAYA BASIC SCHOOL, TRIVENI -6, RIJA , ROLPA",55,रोल्पा,rolpa
28740,4173,70.27027027027026,"अरुणोदय आधारभूत विद्यालय, कास्की",Arunodaya Basic School,38,कास्की,kaski
28974,12071,70.4225352112676,"अनारमनी प्राथमिक विद्यालय, झापा",Indrani prathamik  vidhyalaya,4,झापा,jhapa
29294,21763,70.88607594936708,"आधारभूत विद्यालय सनचिरैया, सिरहा",Kanya Aadharbhut Vidyalay,19,सिराहा,siraha
29408,73894,71.23287671232876,अरुणोदय आधारभूत विद्यालय डोटी,Shree Arunodaya Basic School,75,डोटी,doti
